Word	uniqueID	WordContext	N_Ratings	Level1	N_noSize	N_notKnow	N_noRange	RangeStart_mean	RangeEnd_mean	RangeLength_mean	Size_mean	RangeStart_SD	RangeEnd_SD	RangeLength_SD	Size_SD
binder	binder	binder	43	3.906976744	0	0	1	235.7906977	248.6976744	12.90697674	242.244186	19.27564234	14.19680528	8.52395491	16.38247179
binoculars	binoculars	binoculars	46	3.630434783	0	0	0	219.21739130000003	237.0	17.7826087	228.1086957	12.16901903	13.07924565	9.775054518	11.6485159
bird	bird	bird	40	3.307692308	1	0	0	199.6666667	241.5641026	41.8974359	220.6153846	20.76349698	22.70496685	26.19440968	17.37188501
birdbath	birdbath	birdbath	47	4.456521738999999	0	1	1	261.0869565	283.0869565	22.0	272.0869565	20.97175464	19.29170932	13.80821012	18.92949032
birdcage	birdcage	birdcage	46	4.195652174	0	0	1	254.8695652	281.47826089999995	26.60869565	268.173913	18.40484078	21.51355039	19.46447278	17.49483015
birdhouse	birdhouse	birdhouse	44	3.704545455	0	0	1	228.8636364	255.1363636	26.27272727	242.0	25.45638396	18.01496911	16.05856091	20.53810978
birthday cake	birthday_cake	birthday cake	42	4.0	0	0	1	231.52380950000003	256.3809524	24.85714286	243.952381	25.85818557	13.49788128	23.8834277	16.81709696
biscuit	biscuit	biscuit	48	2.541666667	0	0	0	179.9375	200.2083333	20.27083333	190.0729167	16.66236203	19.13997525	12.78253393	16.76717588
bison	bison	bison	47	6.063829787	0	0	0	321.59574469999995	346.1914894	24.59574468	333.893617	22.59151397	22.29216893	17.74537242	20.61392948
blackberry	blackberry	blackberry	46	1.6739130430000002	0	0	0	146.0217391	160.21739130000003	14.19565217	153.11956519999998	27.89463439	26.94101627	7.850320772999999	27.13959485
blanket	blanket	blanket	45	5.045454545	1	0	1	279.4090909	308.7727273	29.36363636	294.0909091	37.71516146	37.57279052	20.88516878	36.16664799
blazer	blazer	blazer	48	4.533333333	2	1	0	263.3111111	281.35555560000006	18.04444444	272.3333333	20.78004093	16.27205574	14.79858033	17.13316826
blender	blender	blender	45	3.888888889	0	0	0	234.2888889	252.9555556	18.66666667	243.6222222	11.04458366	9.305315088	11.01238972	8.600446312
blimp	blimp	blimp	48	7.723404255	0	1	0	393.4468085	414.5319149	21.08510638	403.9893617	22.58203259	16.26258852	17.61401343	17.59677878
blind	blind	shutter (window)	48	4.574468085	0	1	0	266.1702128	292.1276596	25.95744681	279.1489362	23.01636388	22.77166147	16.64195516	21.32866893
blinder	blinder	blinder (horse)	47	3.953488372	0	4	0	238.4883721	260.7906977	22.30232558	249.6395349	62.34480621	69.55318559	15.82573986	65.57169155
blindfold	blindfold	blindfold	45	3.204545455	1	0	2	205.6590909	223.3863636	17.72727273	214.5227273	25.12937981	25.19986703	15.475958300000002	23.94542112
block	block	block	46	2.80952381	4	2	0	186.0238095	227.6190476	41.5952381	206.8214286	37.01251476	30.12247551	30.64434816	30.06452845
blouse	blouse	blouse	45	4.227272727	0	1	1	249.1363636	269.5	20.36363636	259.3181818	25.94770314	29.68712821	13.36272307	27.067764
blower	blower	blower	46	4.194444444	1	9	0	251.8333333	270.30555560000005	18.47222222	261.0694444	29.95758907	26.70133164	15.93645616	27.23447206
blowfish	blowfish	blowfish	49	3.270833333	0	1	1	203.7083333	229.6666667	25.95833333	216.6875	27.68435946	17.492044800000002	23.48920833	19.9565019
blowgun	blowgun	blowgun	43	3.714285714	2	6	0	228.2857143	249.8285714	21.54285714	239.0571429	28.497235600000003	26.16967904	15.40691758	26.25126648
blowtorch	blowtorch	blowtorch	42	3.975609756	0	1	0	238.1463415	254.5853659	16.43902439	246.3658537	25.84817303	22.46550201	10.45478068	23.64503764
